id,listing_url,name,summary,description,host_id,host_since,host_location,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,street,neighbourhood,city,state,zipcode,smart_location,latitude,longitude,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,calendar_updated,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy
5010679,https://www.airbnb.com/rooms/5010679,,,,9302267,2013,,0.5,,,,,,Oud-Oost,Amsterdam,Noord-Holland,1093 VD,,52.36227126,4.924220057,,Apartment,Entire home/apt,6,1,2,3,Real Bed,,130,,,,,1,0,7,,,0,11/2/2013,20/07/2015,,,,,,,,,
1780691,https://www.airbnb.com/rooms/1780691,,,,9302267,2013,,0.5,,,,,,Oud-Oost,Amsterdam,North Holland,1093 VD,,52.36415148,4.925592938,,Apartment,Entire home/apt,4,1,2,2,Real Bed,,110,,,350,200,1,0,7,,,0,3/4/2013,28/07/2015,,,,,,,,,
5073836,https://www.airbnb.com/rooms/5073836,,,,9302267,2013,,0.5,,,,,,Centrum-West,Amsterdam,Noord-Holland,1013 LE,,52.38375051,4.889620737,,Apartment,Entire home/apt,4,1,2,3,Real Bed,,200,,,299,29,1,0,2,,,1,26/06/2013,17/09/2015,60,4,8,4,6,6,6,,
1784070,https://www.airbnb.com/rooms/1784070,,,,9302267,2013,,0.5,,,,,,De Pijp - Rivierenbuurt,Amsterdam,North Holland,1078 PJ,,52.34825006,4.910627916,,Apartment,Entire home/apt,4,1,2,3,Real Bed,,110,,,,,1,0,7,,,1,9/1/2013,6/7/2015,,,,,,,,,
1899014,https://www.airbnb.com/rooms/1899014,,,,9302267,2013,,0.5,,,,,,Oud-Oost,Amsterdam,North Holland,,,52.36279404,4.927370362,,Apartment,Entire home/apt,4,1,2,2,Real Bed,,85,,,500,125,1,0,7,,,0,27/04/2013,23/07/2015,,,,,,,,,
1776265,https://www.airbnb.com/rooms/1776265,,,,9302267,2013,,0.5,,,,,,Oud-Oost,Amsterdam,North Holland,1093 JK,,52.35929784,4.927668757,,Apartment,Entire home/apt,4,1,1,2,Real Bed,,85,,,"1,000.00",120,1,0,7,,,0,5/2/2013,15/08/2015,,,,,,,,,
1779725,https://www.airbnb.com/rooms/1779725,,,,9302267,2013,,0.5,,,,,,Oud-Oost,Amsterdam,North Holland,1093 VD,,52.36400478,4.925790873,,Apartment,Entire home/apt,4,1,1,1,Real Bed,,80,,,500,,1,0,7,,,0,22/05/2013,6/9/2015,,,,,,,,,
1899699,https://www.airbnb.com/rooms/1899699,,,,9302267,2013,,0.5,,,,,,Oud-Oost,Amsterdam,North Holland,1093 JK,,52.35941779,4.927745631,,Apartment,Entire home/apt,4,1,1,3,Real Bed,,85,,,,,1,0,7,,,1,20/12/2013,6/7/2015,80,10,10,10,4,8,6,,
1833760,https://www.airbnb.com/rooms/1833760,,,,9302267,2013,,0.5,,,,,,De Pijp - Rivierenbuurt,Amsterdam,North Holland,1078 PJ,,52.34848196,4.910698963,,Apartment,Entire home/apt,4,1,1,1,Real Bed,,90,,,"1,000.00",,1,0,7,,,0,27/03/2013,3/8/2015,,,,,,,,,
1779876,https://www.airbnb.com/rooms/1779876,,,,9302267,2013,,0.5,,,,,,De Pijp - Rivierenbuurt,Amsterdam,North Holland,1078,,52.34692486,4.910385447,,Apartment,Entire home/apt,2,1,1,1,Real Bed,,90,,,"2,000.00",250,1,0,7,,,1,16/01/2013,8/8/2015,69,2,8,10,10,6,6,,
4225239,https://www.airbnb.com/rooms/4225239,,,,9305010,2013,,0.8,,,,,,De Baarsjes - Oud-West,Amsterdam,North Holland,1053aj,,52.37044185,4.866951034,,Apartment,Entire home/apt,2,1,0,1,Real Bed,,100,,,,100,1,0,3,,,18,28/04/2013,20/09/2015,98,10,10,10,10,10,9,,
1927634,https://www.airbnb.com/rooms/1927634,,,,9314105,2013,,1,,,,,,Oostelijk Havengebied - Indische Buurt,Amsterdam,North Holland,1019 DD,,52.38119015,4.926990376,,Boat,Entire home/apt,4,1,2,4,Real Bed,,249,,,"1,000.00",200,4,0,4,,,5,1/8/2013,8/7/2015,100,10,10,10,10,10,10,,
1774789,https://www.airbnb.com/rooms/1774789,,,,9320712,2013,,0.95,,,,,,De Pijp - Rivierenbuurt,Amsterdam,Noord-Holland,,,52.35155177,4.893119689,,Apartment,Entire home/apt,2,1,1,1,Real Bed,,117,,,250,99,1,0,1,,,0,22/07/2013,12/7/2015,,,,,,,,,
